main_class;additional_class;filename;x_left_bottom;y_left_bottom;length;width
царапины;Царапина на задней панели;2023-12-26 15-38-08.jpg;965;3075;637;1405
царапины;Царапина на задней панели;2024-01-15 13-40-28.jpg;885;1987;345;270
царапины;Царапина на задней панели;2024-01-15 13-42-01.jpg;989;2664;291;549
царапины;Царапина на задней панели;2024-01-15 13-50-51.jpg;1497;2797;345;489
царапины;Царапина на задней панели;2024-01-15 14-34-26.jpg;1145;2844;403;589
царапины;Царапина на задней панели;2024-01-15 14-40-15.jpg;1438;2636;222;267
царапины;Царапина на задней панели;2024-01-15 16-27-01.jpg;1642;1747;1092;177
царапины;глубокая царапина на задней панели;2024-01-15 14-47-34.jpg;1221;2301;1329;181
царапины;царапина на торце верхней панели;2024-01-15 18-27-22.jpg;1373;2533;349;1585
царапины;царапина на передней панели;2024-01-15 18-28-48.jpg;1045;2084;773;139
царапины;царапина на ободке экрана;2024-01-15 18-38-40.jpg;2047;1537;313;69
царапины;царапина на ободке экрана;2024-01-15 18-38-53.jpg;1351;2172;377;187
царапины;царапина на передней панели;2024-01-15 18-48-33.jpg;1153;2004;207;245
царапины;царапина на передней панели;IMG_7596.JPG;34;118;15;41
царапины;царапина на задней панели;photo_2023-11-08_14-16-12.jpg;373;1003;221;311
царапины;царапина на задней панели;photo_2023-11-08_15-41-31.jpg;210;156;136;37
царапины;царапина на задней панели;photo_2024-01-10_13-04-27.jpg;176;285;99;333
битые пиксели;1 битый пиксель;2024-01-15 17-36-25.jpg;1320;2282;94;74
битые пиксели;1 битый пиксель;2024-01-15 18-11-29.jpg;1484;2268;99;60
битые пиксели;1 битый пиксель;2024-01-15 18-24-12.jpg;1457;2354;101;57
битые пиксели;1 битый пиксель;2024-01-15 18-44-44.jpg;1411;2291;103;79
битые пиксели;1 битый пиксель;20240112_120130.jpg;1095;1509;125;121
битые пиксели;1 битый пиксель;20240219_С223093638.jpg;2053;1309;183;155
битые пиксели;1 битый пиксель;C223013679 (3).jpeg;643;335;45;32
битые пиксели;1 битый пиксель;IMG_7625.JPG;1351;1969;227;179
битые пиксели;1 битый пиксель;IMG_7636.JPG;328;891;22;21
битые пиксели;1 битый пиксель;IMG_7637.JPG;71;70;15;14
битые пиксели;1 битый пиксель;20240112_122742.jpg;2051;801;153;115
битые пиксели;1 битый пиксель;20240112_163254.jpg;1577;1377;245;233
битые пиксели;1 битый пиксель;20240112_163426.jpg;1633;1629;157;145
битые пиксели;1 битый пиксель;20240112_C223013901 (2).jpg;1821;1377;173;245
битые пиксели;1 битый пиксель;20240112_C223013901 (3).jpg;4185;2157;181;153
битые пиксели;1 битый пиксель;20240112_C223013901 (4).jpg;1933;1256;151;117
битые пиксели;1 битый пиксель;20240112_C223013901 (5).jpg;1957;1641;125;117
битые пиксели;1 битый пиксель;20240112_C223013901 (6).jpg;1895;927;229;211
битые пиксели;1 битый пиксель;20240112_C223013901 (7).jpg;1345;1229;209;173
битые пиксели;2 битых пикселя;20240112_C223013901.jpg;1625;1389;253;297
битые пиксели;1 битый пиксель;20240115_C223013936.jpg;1901;1603;205;127
битые пиксели;1 битый пиксель;C223012177_2024-01-12_16-55-01.jpg;353;522;37;27
битые пиксели;1 битый пиксель;C223012177_2024-01-12_16-55-02.jpg;368;604;52;36
битые пиксели;1 битый пиксель;C223012177_2024-01-12_16-55-03.jpg;342;620;52;42
битые пиксели;1 битый пиксель;C223013442_2024-01-15_10-40-04.jpg;385;749;50;48
битые пиксели;1 битый пиксель;C223013679 (1).jpeg;602;328;72;48
битые пиксели;1 битый пиксель;C223013679 (2).jpeg;549;330;69;52
битые пиксели;1 битый пиксель;C223014422_2024-01-12_15-58-03.jpg;364;630;42;37
битые пиксели;1 битый пиксель;c223092161_2024-02-19_17-02-36.jpg;387;728;49;43
битые пиксели;1 битый пиксель;photo_2023-11-09_13-38-14.jpg;735;358;60;55
битые пиксели;1 битый пиксель;photo_2023-11-09_13-38-31.jpg;549;681;24;35
битые пиксели;1 битый пиксель;photo_2023-11-09_16-09-03.jpg;466;634;55;43
битые пиксели;1 битый пиксель;photo_2023-11-09_16-09-17.jpg;435;870;59;42
битые пиксели;1 битый пиксель;photo_2023-11-10_10-51-46.jpg;574;406;59;31
битые пиксели;1 битый пиксель;photo_2023-11-10_12-42-44.jpg;300;558;60;53
битые пиксели;1 битый пиксель;photo_2023-11-10_13-05-08.jpg;425;407;33;36
битые пиксели;1 битый пиксель;photo_2023-11-14_12-06-18.jpg;326;394;52;47
битые пиксели;1 битый пиксель;photo_2023-11-14_13-00-51.jpg;350;582;59;59
битые пиксели;1 битый пиксель;photo_2023-11-14_13-50-04.jpg;372;288;62;55
битые пиксели;1 битый пиксель;photo_2023-11-17_12-27-44.jpg;597;381;89;58
битые пиксели;1 битый пиксель;photo_2023-11-17_13-41-10.jpg;424;475;52;73
битые пиксели;1 битый пиксель;photo_2023-11-20_12-03-36.jpg;444;696;74;71
битые пиксели;1 битый пиксель;photo_2023-11-23_10-28-16.jpg;343;703;41;39
проблемы с клавишами;выпадает клавиша Backspace;2024-01-15 14-54-03.jpg;1020;1593;594;231
проблемы с клавишами;несколько выпадающих кнопок на клавиатуре;2024-01-15 17-57-27.jpg;1315;1568;1057;275
проблемы с клавишами;выпадает клавиша стрелки вниз;2024-01-15 18-21-56.jpg;1110;2356;614;237
проблемы с клавишами;выпадает клавиша space;photo_2023-10-19_14-30-35.jpg;509;394;183;77
замок;некорректно смонтирован замок;2024-01-15 14-25-29.jpg;1203;2511;365;257
замок;некорректно смонтирован замок;2024-01-15 14-37-01.jpg;1345;2725;343;215
замок;некорректно смонтирован замок;2024-01-15 14-41-39.jpg;1361;2668;285;215
замок;некорректно смонтирован замок;2024-01-15 14-41-47.jpg;1441;2602;295;211
замок;некорректно смонтирован замок;2024-01-15 16-33-42.jpg;1357;2569;253;201
замок;некорректно смонтирован замок;2024-01-15 16-35-29.jpg;2149;1801;261;209
отсутствует шуруп;нет шурупа в креплении;2024-01-15 14-43-25.jpg;1641;2009;237;181
отсутствует шуруп;нет шурупа в креплении;2024-01-15 16-30-36.jpg;1233;1973;265;221
отсутствует шуруп;нет шурупа в креплении;2024-01-15 17-25-34.jpg;901;2221;301;241
отсутствует шуруп;нет шурупа в креплении;IMG_1630.JPG;3164;505;147;93
отсутствует шуруп;нет шурупа в креплении;IMG_1631.JPG;2333;2049;617;397
отсутствует шуруп;нет шурупа в креплении;IMG_1635.JPG;1674;720;53;75
отсутствует шуруп;нет шурупа в креплении;IMG_7464.JPG;734;817;335;221
сколы;скол на задней панели;2024-01-15 14-32-34.jpg;1419;2586;225;185
сколы;скол на передней панели;2024-01-15 14-38-21.jpg;1444;2613;109;83
сколы;скол рядом с разъёмом usb;2024-01-15 18-07-23.jpg;1564;2200;94;88
сколы;скол на торце верхней панели;2024-01-15 18-17-07.jpg;1470;2245;269;83
сколы;скол на торце задней панели;2024-01-15 18-25-30.jpg;1001;2443;89;85
сколы;скол на торце рядом с разъёмом usb;IMG_7523.JPG;429;916;87;57
сколы;скол на передней панели;photo_2023-11-24_15-40-04.jpg;431;831;71;68
сколы;скол на передней панели;photo_2023-11-24_15-40-20.jpg;596;431;38;32
сколы;скол на передней панели;photo_2024-01-10_13-04-13.jpg;656;373;37;37
